month,district,number
2021-12-01 0:00,강남구,11632
2021-12-01 0:00,강동구,14580
2021-12-01 0:00,강북구,12188
2021-12-01 0:00,강서구,8456
2021-12-01 0:00,관악구,10300
2021-12-01 0:00,광진구,16320
2021-12-01 0:00,구로구,13472
2021-12-01 0:00,금천구,11316
2021-12-01 0:00,노원구,19552
2021-12-01 0:00,도봉구,14608
2021-12-01 0:00,동대문구,9004
2021-12-01 0:00,동작구,13532
2021-12-01 0:00,마포구,17652
2021-12-01 0:00,서대문구,15108
2021-12-01 0:00,서초구,15556
2021-12-01 0:00,성동구,11756
2021-12-01 0:00,성북구,9132
2021-12-01 0:00,송파구,14384
2021-12-01 0:00,양천구,14824
2021-12-01 0:00,영등포구,13232
2021-12-01 0:00,용산구,9552
2021-12-01 0:00,은평구,20152
2021-12-01 0:00,종로구,17220
2021-12-01 0:00,중구,16960
2021-12-01 0:00,중랑구,13592
2022-01-01 0:00,강남구,10540
2022-01-01 0:00,강동구,14224
2022-01-01 0:00,강북구,13100
2022-01-01 0:00,강서구,12760
2022-01-01 0:00,관악구,11284
2022-01-01 0:00,광진구,16308
2022-01-01 0:00,구로구,13136
2022-01-01 0:00,금천구,12168
2022-01-01 0:00,노원구,21180
2022-01-01 0:00,도봉구,14760
2022-01-01 0:00,동대문구,9696
2022-01-01 0:00,동작구,15044
2022-01-01 0:00,마포구,13784
2022-01-01 0:00,서대문구,13048
2022-01-01 0:00,서초구,13908
2022-01-01 0:00,성동구,11628
2022-01-01 0:00,성북구,9988
2022-01-01 0:00,송파구,14404
2022-01-01 0:00,양천구,14896
2022-01-01 0:00,영등포구,10240
2022-01-01 0:00,용산구,9552
2022-01-01 0:00,은평구,16660
2022-01-01 0:00,종로구,16832
2022-01-01 0:00,중구,17640
2022-01-01 0:00,중랑구,11732
2022-02-01 0:00,강남구,18716
2022-02-01 0:00,강동구,13320
2022-02-01 0:00,강북구,11628
2022-02-01 0:00,강서구,12004
2022-02-01 0:00,관악구,11188
2022-02-01 0:00,광진구,16436
2022-02-01 0:00,구로구,18952
2022-02-01 0:00,금천구,12816
2022-02-01 0:00,노원구,20948
2022-02-01 0:00,도봉구,15080
2022-02-01 0:00,동대문구,9808
2022-02-01 0:00,동작구,13684
2022-02-01 0:00,마포구,17100
2022-02-01 0:00,서대문구,9728
2022-02-01 0:00,서초구,12524
2022-02-01 0:00,성동구,11112
2022-02-01 0:00,성북구,8852
2022-02-01 0:00,송파구,15016
2022-02-01 0:00,양천구,14056
2022-02-01 0:00,영등포구,10256
2022-02-01 0:00,용산구,9228
2022-02-01 0:00,은평구,13456
2022-02-01 0:00,종로구,10676
2022-02-01 0:00,중구,15332
2022-02-01 0:00,중랑구,13380
2022-03-01 0:00,강남구,18444
2022-03-01 0:00,강동구,16800
2022-03-01 0:00,강북구,14656
2022-03-01 0:00,강서구,12956
2022-03-01 0:00,관악구,10172
2022-03-01 0:00,광진구,13772
2022-03-01 0:00,구로구,10600
2022-03-01 0:00,금천구,13608
2022-03-01 0:00,노원구,22920
2022-03-01 0:00,도봉구,18270
2022-03-01 0:00,동대문구,17390
2022-03-01 0:00,동작구,17890
2022-03-01 0:00,마포구,21650
2022-03-01 0:00,서대문구,16400
2022-03-01 0:00,서초구,14950
2022-03-01 0:00,성동구,15345
2022-03-01 0:00,성북구,10970
2022-03-01 0:00,송파구,14535
2022-03-01 0:00,양천구,16780
2022-03-01 0:00,영등포구,15675
2022-03-01 0:00,용산구,10115
2022-03-01 0:00,은평구,16420
2022-03-01 0:00,종로구,13060
2022-03-01 0:00,중구,26060
2022-03-01 0:00,중랑구,17545
2022-04-01 0:00,강남구,17790
2022-04-01 0:00,강동구,17245
2022-04-01 0:00,강북구,18170
2022-04-01 0:00,강서구,17340
2022-04-01 0:00,관악구,13440
2022-04-01 0:00,광진구,16675
2022-04-01 0:00,구로구,13180
2022-04-01 0:00,금천구,11465
2022-04-01 0:00,노원구,24900
2022-04-01 0:00,도봉구,18670
2022-04-01 0:00,동대문구,17425
2022-04-01 0:00,동작구,14365
2022-04-01 0:00,마포구,21505
2022-04-01 0:00,서대문구,11845
2022-04-01 0:00,서초구,14170
2022-04-01 0:00,성동구,20390
2022-04-01 0:00,성북구,12845
2022-04-01 0:00,송파구,20615
2022-04-01 0:00,양천구,17485
2022-04-01 0:00,영등포구,14130
2022-04-01 0:00,용산구,8005
2022-04-01 0:00,은평구,16550
2022-04-01 0:00,종로구,12975
2022-04-01 0:00,중구,22470
2022-04-01 0:00,중랑구,18750
2022-05-01 0:00,강남구,16790
2022-05-01 0:00,강동구,13750
2022-05-01 0:00,강북구,17865
2022-05-01 0:00,강서구,19845
2022-05-01 0:00,관악구,13865
2022-05-01 0:00,광진구,18015
