month,district,number
2021-12-01 0:00,종로구,66
2021-12-01 0:00,마포구,77
2021-12-01 0:00,강서구,127
2021-12-01 0:00,구로구,116
2021-12-01 0:00,영등포구,188
2021-12-01 0:00,동작구,104
2021-12-01 0:00,관악구,105
2021-12-01 0:00,강남구,322
2021-12-01 0:00,강동구,78
2021-12-01 0:00,송파구,251
2021-12-01 0:00,서초구,181
2021-12-01 0:00,중구,77
2021-12-01 0:00,양천구,109
2021-12-01 0:00,중랑구,117
2021-12-01 0:00,노원구,121
2021-12-01 0:00,광진구,51
2021-12-01 0:00,강북구,94
2021-12-01 0:00,금천구,86
2021-12-01 0:00,용산구,77
2021-12-01 0:00,성동구,103
2021-12-01 0:00,동대문구,108
2021-12-01 0:00,성북구,133
2021-12-01 0:00,도봉구,51
2021-12-01 0:00,은평구,48
2021-12-01 0:00,서대문구,79
2022-01-01 0:00,종로구,65
2022-01-01 0:00,마포구,85
2022-01-01 0:00,강서구,140
2022-01-01 0:00,구로구,101
2022-01-01 0:00,영등포구,183
2022-01-01 0:00,동작구,107
2022-01-01 0:00,관악구,104
2022-01-01 0:00,강남구,339
2022-01-01 0:00,강동구,109
2022-01-01 0:00,송파구,221
2022-01-01 0:00,서초구,163
2022-01-01 0:00,중구,77
2022-01-01 0:00,양천구,94
2022-01-01 0:00,중랑구,114
2022-01-01 0:00,노원구,115
2022-01-01 0:00,광진구,61
2022-01-01 0:00,강북구,78
2022-01-01 0:00,금천구,73
2022-01-01 0:00,용산구,87
2022-01-01 0:00,성동구,96
2022-01-01 0:00,동대문구,154
2022-01-01 0:00,성북구,98
2022-01-01 0:00,도봉구,54
2022-01-01 0:00,은평구,77
2022-01-01 0:00,서대문구,79
2022-02-01 0:00,종로구,59
2022-02-01 0:00,마포구,74
2022-02-01 0:00,강서구,116
2022-02-01 0:00,구로구,85
2022-02-01 0:00,영등포구,117
2022-02-01 0:00,동작구,78
2022-02-01 0:00,관악구,89
2022-02-01 0:00,강남구,221
2022-02-01 0:00,강동구,73
2022-02-01 0:00,송파구,159
2022-02-01 0:00,서초구,134
2022-02-01 0:00,중구,59
2022-02-01 0:00,양천구,88
2022-02-01 0:00,중랑구,89
2022-02-01 0:00,노원구,71
2022-02-01 0:00,광진구,58
2022-02-01 0:00,강북구,82
2022-02-01 0:00,금천구,63
2022-02-01 0:00,용산구,70
2022-02-01 0:00,성동구,71
2022-02-01 0:00,동대문구,85
2022-02-01 0:00,성북구,76
2022-02-01 0:00,도봉구,41
2022-02-01 0:00,은평구,54
2022-02-01 0:00,서대문구,64
2022-03-01 0:00,종로구,70
2022-03-01 0:00,마포구,54
2022-03-01 0:00,강서구,112
2022-03-01 0:00,구로구,74
2022-03-01 0:00,영등포구,126
2022-03-01 0:00,동작구,67
2022-03-01 0:00,관악구,79
2022-03-01 0:00,강남구,244
2022-03-01 0:00,강동구,90
2022-03-01 0:00,송파구,164
2022-03-01 0:00,서초구,155
2022-03-01 0:00,중구,54
2022-03-01 0:00,양천구,81
2022-03-01 0:00,중랑구,95
2022-03-01 0:00,노원구,96
2022-03-01 0:00,광진구,59
2022-03-01 0:00,강북구,57
2022-03-01 0:00,금천구,53
2022-03-01 0:00,용산구,59
2022-03-01 0:00,성동구,57
2022-03-01 0:00,동대문구,94
2022-03-01 0:00,성북구,84
2022-03-01 0:00,도봉구,39
2022-03-01 0:00,은평구,62
2022-03-01 0:00,서대문구,62
2022-04-01 0:00,종로구,90
2022-04-01 0:00,마포구,99
2022-04-01 0:00,강서구,135
2022-04-01 0:00,구로구,92
2022-04-01 0:00,영등포구,164
2022-04-01 0:00,동작구,93
2022-04-01 0:00,관악구,109
2022-04-01 0:00,강남구,327
2022-04-01 0:00,강동구,93
2022-04-01 0:00,송파구,220
2022-04-01 0:00,서초구,214
2022-04-01 0:00,중구,81
2022-04-01 0:00,양천구,86
2022-04-01 0:00,중랑구,133
2022-04-01 0:00,노원구,134
2022-04-01 0:00,광진구,56
2022-04-01 0:00,강북구,73
2022-04-01 0:00,금천구,60
2022-04-01 0:00,용산구,67
2022-04-01 0:00,성동구,89
2022-04-01 0:00,동대문구,116
2022-04-01 0:00,성북구,99
2022-04-01 0:00,도봉구,44
2022-04-01 0:00,은평구,75
2022-04-01 0:00,서대문구,98
2022-05-01 0:00,종로구,88
2022-05-01 0:00,마포구,95
2022-05-01 0:00,강서구,154
2022-05-01 0:00,구로구,130
2022-05-01 0:00,영등포구,183
2022-05-01 0:00,동작구,96
2022-05-01 0:00,관악구,122
2022-05-01 0:00,강남구,319
2022-05-01 0:00,강동구,87
2022-05-01 0:00,송파구,209
2022-05-01 0:00,서초구,222
2022-05-01 0:00,중구,72
2022-05-01 0:00,양천구,82
2022-05-01 0:00,중랑구,135
2022-05-01 0:00,노원구,121
2022-05-01 0:00,광진구,69
2022-05-01 0:00,강북구,97
2022-05-01 0:00,금천구,78
2022-05-01 0:00,용산구,87
2022-05-01 0:00,성동구,96
2022-05-01 0:00,동대문구,151
2022-05-01 0:00,성북구,109
2022-05-01 0:00,도봉구,52
2022-05-01 0:00,은평구,88
2022-05-01 0:00,서대문구,88
2022-06-01 0:00,종로구,78
2022-06-01 0:00,마포구,77
2022-06-01 0:00,강서구,155
2022-06-01 0:00,구로구,94
2022-06-01 0:00,영등포구,180
2022-06-01 0:00,동작구,96
2022-06-01 0:00,관악구,91
2022-06-01 0:00,강남구,322
2022-06-01 0:00,강동구,90
2022-06-01 0:00,송파구,226
2022-06-01 0:00,서초구,169
2022-06-01 0:00,중구,73
2022-06-01 0:00,양천구,84
2022-06-01 0:00,중랑구,119
2022-06-01 0:00,노원구,129
2022-06-01 0:00,광진구,46
2022-06-01 0:00,강북구,83
2022-06-01 0:00,금천구,67
2022-06-01 0:00,용산구,82
2022-06-01 0:00,성동구,54
2022-06-01 0:00,동대문구,110
2022-06-01 0:00,성북구,109
2022-06-01 0:00,도봉구,41
2022-06-01 0:00,은평구,87
2022-06-01 0:00,서대문구,86
2022-07-01 0:00,종로구,109
2022-07-01 0:00,마포구,87
2022-07-01 0:00,강서구,143
2022-07-01 0:00,구로구,109
2022-07-01 0:00,영등포구,172
2022-07-01 0:00,동작구,104
2022-07-01 0:00,관악구,107
2022-07-01 0:00,강남구,360
2022-07-01 0:00,강동구,101
2022-07-01 0:00,송파구,224
2022-07-01 0:00,서초구,185
2022-07-01 0:00,중구,87
2022-07-01 0:00,양천구,103
2022-07-01 0:00,중랑구,128
2022-07-01 0:00,노원구,110
2022-07-01 0:00,광진구,59
2022-07-01 0:00,강북구,102
2022-07-01 0:00,금천구,82
2022-07-01 0:00,용산구,96
2022-07-01 0:00,성동구,90
2022-07-01 0:00,동대문구,139
2022-07-01 0:00,성북구,122
2022-07-01 0:00,도봉구,41
2022-07-01 0:00,은평구,76
2022-07-01 0:00,서대문구,85
2022-08-01 0:00,종로구,77
2022-08-01 0:00,마포구,97
2022-08-01 0:00,강서구,126
2022-08-01 0:00,구로구,108
2022-08-01 0:00,영등포구,142
2022-08-01 0:00,동작구,95
2022-08-01 0:00,관악구,71
2022-08-01 0:00,강남구,307
2022-08-01 0:00,강동구,103
2022-08-01 0:00,송파구,198
2022-08-01 0:00,서초구,193
2022-08-01 0:00,중구,66
2022-08-01 0:00,양천구,97
2022-08-01 0:00,중랑구,121
2022-08-01 0:00,노원구,127
2022-08-01 0:00,광진구,46
2022-08-01 0:00,강북구,94
2022-08-01 0:00,금천구,77
2022-08-01 0:00,용산구,91
2022-08-01 0:00,성동구,78
2022-08-01 0:00,동대문구,112
2022-08-01 0:00,성북구,116
2022-08-01 0:00,도봉구,45
2022-08-01 0:00,은평구,64
2022-08-01 0:00,서대문구,83
2022-09-01 0:00,종로구,99
2022-09-01 0:00,마포구,111
2022-09-01 0:00,강서구,131
2022-09-01 0:00,구로구,106
2022-09-01 0:00,영등포구,190
2022-09-01 0:00,동작구,106
2022-09-01 0:00,관악구,99
2022-09-01 0:00,강남구,304
2022-09-01 0:00,강동구,94
2022-09-01 0:00,송파구,242
2022-09-01 0:00,서초구,193
2022-09-01 0:00,중구,88
2022-09-01 0:00,양천구,119
2022-09-01 0:00,중랑구,123
2022-09-01 0:00,노원구,119
