month,district,number
2022-09-01 0:00,광진구,59
2022-09-01 0:00,강북구,90
2022-09-01 0:00,금천구,72
2022-09-01 0:00,용산구,80
2022-09-01 0:00,성동구,73
2022-09-01 0:00,동대문구,128
2022-09-01 0:00,성북구,107
2022-09-01 0:00,도봉구,44
2022-09-01 0:00,은평구,97
2022-09-01 0:00,서대문구,91
2022-10-01 0:00,종로구,81
2022-10-01 0:00,마포구,101
2022-10-01 0:00,강서구,133
2022-10-01 0:00,구로구,133
2022-10-01 0:00,영등포구,195
2022-10-01 0:00,동작구,114
2022-10-01 0:00,관악구,93
2022-10-01 0:00,강남구,343
2022-10-01 0:00,강동구,112
2022-10-01 0:00,송파구,244
2022-10-01 0:00,서초구,219
2022-10-01 0:00,중구,81
2022-10-01 0:00,양천구,120
2022-10-01 0:00,중랑구,108
2022-10-01 0:00,노원구,139
2022-10-01 0:00,광진구,79
2022-10-01 0:00,강북구,103
2022-10-01 0:00,금천구,55
2022-10-01 0:00,용산구,116
2022-10-01 0:00,성동구,84
2022-10-01 0:00,동대문구,147
2022-10-01 0:00,성북구,123
2022-10-01 0:00,도봉구,37
2022-10-01 0:00,은평구,92
2022-10-01 0:00,서대문구,85
2022-11-01 0:00,종로구,77
2022-11-01 0:00,마포구,93
2022-11-01 0:00,강서구,125
2022-11-01 0:00,구로구,113
2022-11-01 0:00,영등포구,178
2022-11-01 0:00,동작구,117
2022-11-01 0:00,관악구,104
2022-11-01 0:00,강남구,331
2022-11-01 0:00,강동구,96
2022-11-01 0:00,송파구,224
2022-11-01 0:00,서초구,187
2022-11-01 0:00,중구,92
2022-11-01 0:00,양천구,109
2022-11-01 0:00,중랑구,121
2022-11-01 0:00,노원구,108
2022-11-01 0:00,광진구,51
2022-11-01 0:00,강북구,97
2022-11-01 0:00,금천구,83
2022-11-01 0:00,용산구,84
2022-11-01 0:00,성동구,75
2022-11-01 0:00,동대문구,127
2022-11-01 0:00,성북구,115
2022-11-01 0:00,도봉구,43
2022-11-01 0:00,은평구,77
2022-11-01 0:00,서대문구,79
2022-12-01 0:00,종로구,81
2022-12-01 0:00,마포구,92
2022-12-01 0:00,강서구,136
2022-12-01 0:00,구로구,129
2022-12-01 0:00,영등포구,168
2022-12-01 0:00,동작구,144
2022-12-01 0:00,관악구,104
2022-12-01 0:00,강남구,292
2022-12-01 0:00,강동구,103
2022-12-01 0:00,송파구,250
2022-12-01 0:00,서초구,230
2022-12-01 0:00,중구,113
2022-12-01 0:00,양천구,102
2022-12-01 0:00,중랑구,115
2022-12-01 0:00,노원구,115
2022-12-01 0:00,광진구,65
2022-12-01 0:00,강북구,88
2022-12-01 0:00,금천구,81
2022-12-01 0:00,용산구,95
2022-12-01 0:00,성동구,85
2022-12-01 0:00,동대문구,171
2022-12-01 0:00,성북구,130
2022-12-01 0:00,도봉구,41
2022-12-01 0:00,은평구,69
2022-12-01 0:00,서대문구,74
2023-01-01 0:00,종로구,77
2023-01-01 0:00,마포구,80
2023-01-01 0:00,강서구,112
2023-01-01 0:00,구로구,93
2023-01-01 0:00,영등포구,134
2023-01-01 0:00,동작구,107
2023-01-01 0:00,관악구,71
2023-01-01 0:00,강남구,293
2023-01-01 0:00,강동구,94
2023-01-01 0:00,송파구,201
2023-01-01 0:00,서초구,135
2023-01-01 0:00,중구,81
2023-01-01 0:00,양천구,77
2023-01-01 0:00,중랑구,88
2023-01-01 0:00,노원구,95
2023-01-01 0:00,광진구,49
2023-01-01 0:00,강북구,82
2023-01-01 0:00,금천구,74
2023-01-01 0:00,용산구,81
2023-01-01 0:00,성동구,78
2023-01-01 0:00,동대문구,121
2023-01-01 0:00,성북구,103
2023-01-01 0:00,도봉구,36
2023-01-01 0:00,은평구,90
2023-01-01 0:00,서대문구,74
2023-02-01 0:00,종로구,66
2023-02-01 0:00,마포구,77
2023-02-01 0:00,강서구,106
2023-02-01 0:00,구로구,75
2023-02-01 0:00,영등포구,150
2023-02-01 0:00,동작구,96
2023-02-01 0:00,관악구,75
2023-02-01 0:00,강남구,283
2023-02-01 0:00,강동구,83
2023-02-01 0:00,송파구,162
2023-02-01 0:00,서초구,161
2023-02-01 0:00,중구,58
2023-02-01 0:00,양천구,91
2023-02-01 0:00,중랑구,99
2023-02-01 0:00,노원구,75
2023-02-01 0:00,광진구,44
2023-02-01 0:00,강북구,53
2023-02-01 0:00,금천구,65
2023-02-01 0:00,용산구,73
2023-02-01 0:00,성동구,61
2023-02-01 0:00,동대문구,112
2023-02-01 0:00,성북구,84
2023-02-01 0:00,도봉구,32
2023-02-01 0:00,은평구,45
2023-02-01 0:00,서대문구,53
2023-03-01 0:00,종로구,67
2023-03-01 0:00,마포구,93
2023-03-01 0:00,강서구,112
2023-03-01 0:00,구로구,101
2023-03-01 0:00,영등포구,146
2023-03-01 0:00,동작구,96
2023-03-01 0:00,관악구,86
2023-03-01 0:00,강남구,330
2023-03-01 0:00,강동구,73
2023-03-01 0:00,송파구,201
2023-03-01 0:00,서초구,195
2023-03-01 0:00,중구,88
2023-03-01 0:00,양천구,100
2023-03-01 0:00,중랑구,98
2023-03-01 0:00,노원구,104
2023-03-01 0:00,광진구,63
2023-03-01 0:00,강북구,75
2023-03-01 0:00,금천구,65
2023-03-01 0:00,용산구,63
2023-03-01 0:00,성동구,64
2023-03-01 0:00,동대문구,133
2023-03-01 0:00,성북구,83
2023-03-01 0:00,도봉구,43
2023-03-01 0:00,은평구,83
2023-03-01 0:00,서대문구,70
2023-04-01 0:00,종로구,73
2023-04-01 0:00,마포구,111
2023-04-01 0:00,강서구,139
2023-04-01 0:00,구로구,99
2023-04-01 0:00,영등포구,143
2023-04-01 0:00,동작구,95
2023-04-01 0:00,관악구,83
2023-04-01 0:00,강남구,347
2023-04-01 0:00,강동구,91
2023-04-01 0:00,송파구,214
2023-04-01 0:00,서초구,157
2023-04-01 0:00,중구,82
2023-04-01 0:00,양천구,102
2023-04-01 0:00,중랑구,90
2023-04-01 0:00,노원구,105
2023-04-01 0:00,광진구,43
2023-04-01 0:00,강북구,83
2023-04-01 0:00,금천구,81
2023-04-01 0:00,용산구,73
2023-04-01 0:00,성동구,88
2023-04-01 0:00,동대문구,132
2023-04-01 0:00,성북구,98
2023-04-01 0:00,도봉구,48
2023-04-01 0:00,은평구,96
2023-04-01 0:00,서대문구,76
2023-05-01 0:00,종로구,88
2023-05-01 0:00,마포구,117
2023-05-01 0:00,강서구,134
2023-05-01 0:00,구로구,122
2023-05-01 0:00,영등포구,155
2023-05-01 0:00,동작구,102
2023-05-01 0:00,관악구,93
2023-05-01 0:00,강남구,315
2023-05-01 0:00,강동구,111
2023-05-01 0:00,송파구,221
2023-05-01 0:00,서초구,185
2023-05-01 0:00,중구,67
2023-05-01 0:00,양천구,99
2023-05-01 0:00,중랑구,121
2023-05-01 0:00,노원구,122
2023-05-01 0:00,광진구,65
2023-05-01 0:00,강북구,87
2023-05-01 0:00,금천구,65
2023-05-01 0:00,용산구,77
2023-05-01 0:00,성동구,72
2023-05-01 0:00,동대문구,153
2023-05-01 0:00,성북구,108
2023-05-01 0:00,도봉구,40
2023-05-01 0:00,은평구,93
2023-05-01 0:00,서대문구,92
2023-06-01 0:00,종로구,82
2023-06-01 0:00,마포구,104
2023-06-01 0:00,강서구,133
2023-06-01 0:00,구로구,119
2023-06-01 0:00,영등포구,139
2023-06-01 0:00,동작구,108
2023-06-01 0:00,관악구,100
2023-06-01 0:00,강남구,313
2023-06-01 0:00,강동구,105
2023-06-01 0:00,송파구,210
2023-06-01 0:00,서초구,177
2023-06-01 0:00,중구,78
2023-06-01 0:00,양천구,109
2023-06-01 0:00,중랑구,111
2023-06-01 0:00,노원구,120
2023-06-01 0:00,광진구,63
2023-06-01 0:00,강북구,82
2023-06-01 0:00,금천구,71
2023-06-01 0:00,용산구,80
2023-06-01 0:00,성동구,69
2023-06-01 0:00,동대문구,147
2023-06-01 0:00,성북구,102
2023-06-01 0:00,도봉구,49
2023-06-01 0:00,은평구,75
2023-06-01 0:00,서대문구,74
2023-07-01 0:00,종로구,95
2023-07-01 0:00,마포구,103
2023-07-01 0:00,강서구,121
2023-07-01 0:00,구로구,136
2023-07-01 0:00,영등포구,149
2023-07-01 0:00,동작구,101
2023-07-01 0:00,관악구,73
2023-07-01 0:00,강남구,344
2023-07-01 0:00,강동구,114
2023-07-01 0:00,송파구,215
2023-07-01 0:00,서초구,183
2023-07-01 0:00,중구,79
2023-07-01 0:00,양천구,113
2023-07-01 0:00,중랑구,89
2023-07-01 0:00,노원구,104
2023-07-01 0:00,광진구,69
2023-07-01 0:00,강북구,68
2023-07-01 0:00,금천구,61
2023-07-01 0:00,용산구,86
2023-07-01 0:00,성동구,70
2023-07-01 0:00,동대문구,133
2023-07-01 0:00,성북구,99
2023-07-01 0:00,도봉구,51
2023-07-01 0:00,은평구,79
2023-07-01 0:00,서대문구,67
2023-08-01 0:00,종로구,83
2023-08-01 0:00,마포구,120
2023-08-01 0:00,강서구,128
2023-08-01 0:00,구로구,111
2023-08-01 0:00,영등포구,172
2023-08-01 0:00,동작구,105
2023-08-01 0:00,관악구,100
2023-08-01 0:00,강남구,324
2023-08-01 0:00,강동구,100
2023-08-01 0:00,송파구,250
2023-08-01 0:00,서초구,191
2023-08-01 0:00,중구,61
2023-08-01 0:00,양천구,101
2023-08-01 0:00,중랑구,109
2023-08-01 0:00,노원구,110
2023-08-01 0:00,광진구,66
2023-08-01 0:00,강북구,91
2023-08-01 0:00,금천구,75
2023-08-01 0:00,용산구,95
2023-08-01 0:00,성동구,84
2023-08-01 0:00,동대문구,153
2023-08-01 0:00,성북구,81
2023-08-01 0:00,도봉구,54
2023-08-01 0:00,은평구,92
2023-08-01 0:00,서대문구,93
2023-09-01 0:00,종로구,81
2023-09-01 0:00,마포구,115
2023-09-01 0:00,강서구,153
2023-09-01 0:00,구로구,114
2023-09-01 0:00,영등포구,178
2023-09-01 0:00,동작구,121
2023-09-01 0:00,관악구,84
2023-09-01 0:00,강남구,315
2023-09-01 0:00,강동구,109
2023-09-01 0:00,송파구,221
2023-09-01 0:00,서초구,208
2023-09-01 0:00,중구,76
2023-09-01 0:00,양천구,120
2023-09-01 0:00,중랑구,123
2023-09-01 0:00,노원구,125
2023-09-01 0:00,광진구,54
2023-09-01 0:00,강북구,95
2023-09-01 0:00,금천구,82
2023-09-01 0:00,용산구,101
2023-09-01 0:00,성동구,84
2023-09-01 0:00,동대문구,130
2023-09-01 0:00,성북구,124
2023-09-01 0:00,도봉구,45
2023-09-01 0:00,은평구,98
2023-09-01 0:00,서대문구,69
2023-10-01 0:00,종로구,96
2023-10-01 0:00,마포구,122
2023-10-01 0:00,강서구,135
2023-10-01 0:00,구로구,123
2023-10-01 0:00,영등포구,173
2023-10-01 0:00,동작구,105
2023-10-01 0:00,관악구,73
2023-10-01 0:00,강남구,341
2023-10-01 0:00,강동구,92
2023-10-01 0:00,송파구,235
2023-10-01 0:00,서초구,197
2023-10-01 0:00,중구,84
2023-10-01 0:00,양천구,94
2023-10-01 0:00,중랑구,122
2023-10-01 0:00,노원구,148
2023-10-01 0:00,광진구,61
2023-10-01 0:00,강북구,89
2023-10-01 0:00,금천구,81
2023-10-01 0:00,용산구,99
2023-10-01 0:00,성동구,81
2023-10-01 0:00,동대문구,157
2023-10-01 0:00,성북구,116
2023-10-01 0:00,도봉구,47
2023-10-01 0:00,은평구,94
2023-10-01 0:00,서대문구,70
2023-11-01 0:00,종로구,80
2023-11-01 0:00,마포구,104
2023-11-01 0:00,강서구,126
2023-11-01 0:00,구로구,131
2023-11-01 0:00,영등포구,182
2023-11-01 0:00,동작구,100
2023-11-01 0:00,관악구,76
2023-11-01 0:00,강남구,358
2023-11-01 0:00,강동구,113
2023-11-01 0:00,송파구,235
2023-11-01 0:00,서초구,194
2023-11-01 0:00,중구,98
2023-11-01 0:00,양천구,110
2023-11-01 0:00,중랑구,105
2023-11-01 0:00,노원구,117
2023-11-01 0:00,광진구,67
2023-11-01 0:00,강북구,81
2023-11-01 0:00,금천구,76
2023-11-01 0:00,용산구,86
2023-11-01 0:00,성동구,82
2023-11-01 0:00,동대문구,160
2023-11-01 0:00,성북구,127
2023-11-01 0:00,도봉구,37
2023-11-01 0:00,은평구,100
2023-11-01 0:00,서대문구,87
2023-12-01 0:00,종로구,100
2023-12-01 0:00,마포구,104
2023-12-01 0:00,강서구,119
2023-12-01 0:00,구로구,135
2023-12-01 0:00,영등포구,179
2023-12-01 0:00,동작구,106
2023-12-01 0:00,관악구,66
2023-12-01 0:00,강남구,363
2023-12-01 0:00,강동구,100
2023-12-01 0:00,송파구,249
2023-12-01 0:00,서초구,185
2023-12-01 0:00,중구,79
2023-12-01 0:00,양천구,105
2023-12-01 0:00,중랑구,113
2023-12-01 0:00,노원구,141
2023-12-01 0:00,광진구,73
2023-12-01 0:00,강북구,86
2023-12-01 0:00,금천구,80
2023-12-01 0:00,용산구,82
2023-12-01 0:00,성동구,86
2023-12-01 0:00,동대문구,143
2023-12-01 0:00,성북구,131
2023-12-01 0:00,도봉구,48
2023-12-01 0:00,은평구,94
2023-12-01 0:00,서대문구,91
